tick_ms,row_type,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,lat,lon,alt,speed,sats,vbat
31914,I,0.0554,0.0254,1.2118,1.40,2.99,-1.10,,,,,,
31924,I,0.2671,-0.0006,0.8446,4.51,-2.50,0.18,,,,,,
31934,I,0.1661,0.0013,1.0739,1.10,0.55,-0.37,,,,,,
31957,I,0.1531,0.0164,1.2865,5.30,0.43,-0.67,,,,,,
31967,I,0.0881,-0.0303,0.9810,0.85,2.32,-0.85,,,,,,
31977,I,0.3016,-0.0637,0.8433,3.41,-3.48,-0.55,,,,,,
31987,I,0.1470,0.0265,1.1791,7.50,1.65,-1.16,,,,,,
31997,I,0.1421,-0.0270,0.8640,2.26,0.98,-1.46,,,,,,
32007,I,0.1907,-0.0342,1.0592,2.80,-1.16,-1.65,,,,,,
32017,I,0.1298,0.0074,0.9448,8.05,0.85,-1.59,,,,,,
32027,I,0.2500,-0.0087,1.0078,4.27,-2.20,-1.52,,,,,,
32037,I,0.1412,-0.0349,0.9700,2.68,1.40,-2.01,,,,,,
32047,I,0.2212,-0.0244,1.0497,6.34,-0.79,-1.46,,,,,,
32057,I,0.1974,-0.0217,0.9510,6.28,0.49,-1.46,,,,,,
32067,I,0.1768,-0.0553,1.0116,4.15,0.30,-1.28,,,,,,
32077,I,0.0396,-0.0002,1.0559,7.50,2.32,-1.52,,,,,,
32087,I,0.2545,-0.0276,0.7373,9.33,-2.80,-0.24,,,,,,
32097,I,0.1725,-0.0013,1.2322,6.16,0.06,-1.22,,,,,,
32107,I,0.0837,-0.0117,1.0035,5.98,2.07,-1.16,,,,,,
32117,I,0.3301,-0.0286,0.8628,9.51,-4.02,-0.24,,,,,,
32127,I,0.1373,0.0311,1.1718,8.84,2.20,-1.28,,,,,,
32137,I,0.1450,-0.0317,0.8218,5.30,1.22,-1.22,,,,,,
32147,I,0.2268,-0.0095,0.9700,9.63,-1.83,-0.98,,,,,,
32166,I,0.2064,-0.0192,0.6934,5.30,-1.16,-0.91,,,,,,
32176,I,0.2551,-0.0122,1.0146,8.23,-1.59,-1.40,,,,,,
32186,I,0.1099,0.0946,1.1946,13.84,2.32,-1.28,,,,,,
32196,I,0.2238,0.0179,0.7144,7.32,-0.98,-0.98,,,,,,
32206,I,0.1809,0.0216,1.1521,7.26,-0.18,-1.40,,,,,,
32216,I,0.1127,0.0812,0.9895,12.62,1.77,-1.28,,,,,,
32226,I,0.3000,0.0594,0.8889,9.88,-3.05,-0.73,,,,,,
32236,I,0.1146,0.0663,1.0537,8.35,2.32,-1.46,,,,,,
32246,I,0.2543,0.0701,1.0035,10.00,-1.28,-0.91,,,,,,
32256,I,0.1698,0.1149,1.0323,10.85,1.22,-1.16,,,,,,
32266,I,0.1914,0.0540,0.8273,7.68,0.18,-0.91,,,,,,
32276,I,0.1342,0.1119,1.1923,9.02,0.30,-1.46,,,,,,
32286,I,0.1201,0.1473,0.9882,11.59,0.85,-0.91,,,,,,
32296,I,0.3049,0.0706,0.8181,7.26,-2.99,-0.37,,,,,,
32306,I,0.1339,0.1215,1.1683,6.89,1.95,-1.71,,,,,,
32316,I,0.2546,0.1316,0.9314,11.34,-1.04,-0.55,,,,,,
32326,I,0.2064,0.1432,0.9788,8.17,0.24,-0.85,,,,,,
32336,I,0.0679,0.1416,1.0901,5.43,2.32,-1.28,,,,,,
32346,I,0.2598,0.1095,0.6680,8.60,-1.95,-0.30,,,,,,
32356,I,0.1886,0.1770,1.2281,8.48,-0.12,-1.10,,,,,,
32375,I,0.0624,0.1683,1.1248,4.45,-3.78,-0.18,,,,,,
32385,I,0.3502,0.0797,0.6666,7.87,0.91,-0.98,,,,,,
32395,I,0.1804,0.1665,1.2130,4.82,3.17,-1.16,,,,,,
32405,I,0.0409,0.1831,1.0802,3.66,-3.60,0.12,,,,,,
32415,I,0.3287,0.0918,0.5853,7.50,1.34,-1.10,,,,,,
32425,I,0.1389,0.1851,1.3535,3.84,2.80,-0.79,,,,,,
32435,I,0.3389,0.0868,0.6631,2.20,-3.96,0.06,,,,,,
32445,I,0.1426,0.1851,1.2698,5.85,1.89,-1.04,,,,,,
32455,I,0.0980,0.1649,0.9102,2.50,1.71,-0.91,,,,,,
32465,I,0.0980,0.1649,0.9102,1.77,-2.87,-0.37,,,,,,
32475,I,0.1068,0.1837,1.2161,4.33,2.32,-1.10,,,,,,
32485,I,0.2025,0.1482,0.8788,1.83,-0.43,-0.67,,,,,,
32495,I,0.2025,0.1482,0.8788,0.79,-0.06,-0.98,,,,,,
32505,I,0.1920,0.1412,1.0018,2.93,0.12,-0.79,,,,,,
32515,I,0.2072,0.1425,0.9924,0.06,0.85,-1.22,,,,,,
32525,I,0.1771,0.1510,1.0406,0.67,1.71,-1.16,,,,,,
32535,I,0.0979,0.1317,0.9746,0.67,1.71,-1.16,,,,,,
32545,I,0.1410,0.1682,1.2209,0.30,1.52,-1.71,,,,,,
32555,I,0.1753,0.1066,0.9069,0.06,0.06,-0.98,,,,,,
32565,I,0.1753,0.1066,0.9069,-0.37,-1.16,-1.22,,,,,,
32585,I,0.2112,0.1182,0.9972,-0.37,0.67,-1.46,,,,,,
32595,I,0.1941,0.1104,0.9943,0.06,2.07,-1.71,,,,,,
32605,I,0.0742,0.1384,1.1261,1.71,-1.52,-0.85,,,,,,
32615,I,0.2411,0.0889,0.6924,-0.37,-0.67,-1.71,,,,,,
32625,I,0.2241,0.1251,1.1305,-1.04,2.68,-1.89,,,,,,
32635,I,0.0803,0.1338,1.1006,-1.04,2.68,-1.89,,,,,,
32645,I,0.3241,0.0741,0.7914,-0.12,-3.35,-0.98,,,,,,
32655,I,0.1632,0.1022,0.8740,-1.28,1.52,-1.59,,,,,,
32665,I,0.2291,0.1161,1.0295,0.24,-1.40,-1.40,,,,,,
32675,I,0.2291,0.1161,1.0295,1.34,1.83,-1.59,,,,,,
32685,I,0.1257,0.1586,1.0615,-2.20,-1.65,-1.04,,,,,,
32695,I,0.2679,0.0988,0.8585,-1.71,0.61,-1.65,,,,,,
32705,I,0.1663,0.1224,1.0493,0.61,-1.10,-0.98,,,,,,
32715,I,0.2739,0.1238,0.9559,-2.38,0.79,-1.52,,,,,,
32725,I,0.1954,0.1368,1.0728,-2.44,1.10,-1.40,,,,,,
32735,I,0.1672,0.1141,0.8673,-2.44,1.10,-1.40,,,,,,
32745,I,0.1566,0.1802,1.2529,-2.74,1.89,-1.77,,,,,,
32755,I,0.1566,0.1802,1.2529,-4.94,-0.18,-0.61,,,,,,
32765,I,0.2170,0.0879,0.8157,-2.32,-2.01,-0.79,,,,,,
32775,I,0.2983,0.1049,0.9963,-1.10,1.46,-0.98,,,,,,
32794,I,0.2251,0.1100,0.9233,-4.27,0.24,-0.61,,,,,,
32804,I,0.1255,0.1610,1.1512,-2.38,1.22,-0.73,,,,,,
32814,I,0.1969,0.1577,0.8064,-0.67,-0.18,0.18,,,,,,
32824,I,0.2356,0.1578,1.0557,-4.51,-1.16,-0.12,,,,,,
32834,I,0.0925,0.1705,1.0457,-5.37,2.56,-0.67,,,,,,
32844,I,0.2625,0.1501,0.9626,-4.15,-2.32,0.18,,,,,,
32854,I,0.2006,0.1509,0.9771,-6.04,0.85,-0.43,,,,,,
32864,I,0.2124,0.1028,0.9176,-7.74,0.06,-0.43,,,,,,
32874,I,0.1069,0.1602,1.1615,-5.85,1.46,-0.85,,,,,,
32884,I,0.2034,0.1179,0.7850,-5.98,-0.12,-0.06,,,,,,
32894,I,0.2550,0.0908,1.0211,-8.29,-1.16,-0.37,,,,,,
32904,I,0.0961,0.1206,1.0287,-7.56,2.87,-1.10,,,,,,
32914,I,0.2704,0.1080,0.9683,-5.30,-1.77,-0.18,,,,,,
32924,I,0.1870,0.1044,0.9633,-7.56,1.77,-0.79,,,,,,
32935,I,0.2166,0.0669,0.8965,-8.17,0.18,-0.67,,,,,,
32945,I,0.0930,0.1517,1.1733,-6.52,0.00,-0.67,,,,,,
32955,I,0.1948,0.1053,0.7788,-9.76,-1.52,-1.16,,,,,,
32965,I,0.2755,0.0706,1.0044,-8.54,3.29,-1.95,,,,,,
32975,I,0.0913,0.1014,1.0715,-7.20,-2.20,-1.16,,,,,,
32989,I,0.2007,0.0580,0.9921,-9.15,1.89,-2.07,,,,,,
33008,I,0.0992,0.0886,1.1953,-6.04,2.07,-2.56,,,,,,
33018,I,0.1735,0.0331,0.8124,-7.01,0.49,-1.95,,,,,,
33028,I,0.2556,-0.0095,0.9905,-9.57,-1.59,-2.38,,,,,,
